dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99999,FB,0.003206
FB_res_peso_asc,1,1,FB,0.001913
FB_res_peso_asc,2,19,FB,0.002545
FB_res_peso_asc,3,14,FB,0.001944
FB_res_peso_asc,4,32,FB,0.002324
FB_res_peso_asc,5,41,FB,0.002585
FB_res_peso_asc,6,59,FB,0.007484
FB_res_peso_asc,7,57,FB,0.006091
FB_res_peso_asc,8,79,FB,0.01056
FB_res_peso_asc,9,83,FB,0.018725
FB_res_peso_asc,10,92,FB,0.02694
FB_res_peso_asc,11,98,FB,0.047759
FB_res_peso_asc,12,118,FB,0.056786
FB_res_peso_asc,13,124,FB,0.126927
FB_res_peso_asc,14,139,FB,0.241883
FB_res_peso_asc,15,145,FB,0.462315
FB_res_peso_asc,16,146,FB,0.910905
FB_res_peso_asc,17,162,FB,1.77833
FB_res_peso_asc,18,171,FB,3.63498
FB_res_peso_asc,19,187,FB,6.88331
FB_res_peso_asc,20,194,FB,11.864
FB_res_peso_asc,21,198,FB,22.5449
FB_res_peso_asc,22,203,FB,50.9404
FB_res_peso_asc,23,222,FB,101.114
FB_res_peso_asc,24,227,FB,216.096
FB_res_peso_asc,25,240,FB,382.414
FB_res_peso_asc,26,243,FB,780.948
FB_res_peso_asc,27,259,FB,1553.54
FB_res_peso_asc,28,273,FB,3089.51
FB_res_peso_asc,29,290,FB,6147.39
FB_res_peso_asc,30,295,FB,11896.2
FB_res_peso_desc,0,99990,FB,0.001723
FB_res_peso_desc,1,6,FB,0.001903
FB_res_peso_desc,2,6,FB,0.001754
FB_res_peso_desc,3,26,FB,0.003677
FB_res_peso_desc,4,37,FB,0.003417
FB_res_peso_desc,5,48,FB,0.003256
FB_res_peso_desc,6,56,FB,0.007054
FB_res_peso_desc,7,70,FB,0.007894
FB_res_peso_desc,8,63,FB,0.008035
FB_res_peso_desc,9,82,FB,0.022322
FB_res_peso_desc,10,95,FB,0.017993
FB_res_peso_desc,11,105,FB,0.031439
FB_res_peso_desc,12,111,FB,0.06417
FB_res_peso_desc,13,123,FB,0.146423
FB_res_peso_desc,14,106,FB,0.231854
FB_res_peso_desc,15,143,FB,0.455702
FB_res_peso_desc,16,158,FB,0.917275
FB_res_peso_desc,17,169,FB,1.58437
FB_res_peso_desc,18,174,FB,3.53342
FB_res_peso_desc,19,184,FB,7.48
FB_res_peso_desc,20,180,FB,13.4797
FB_res_peso_desc,21,196,FB,28.8337
FB_res_peso_desc,22,215,FB,51.6226
FB_res_peso_desc,23,227,FB,99.0136
FB_res_peso_desc,24,237,FB,205.134
FB_res_peso_desc,25,243,FB,374.967
FB_res_peso_desc,26,260,FB,815.186
FB_res_peso_desc,27,270,FB,1446.5
FB_res_peso_desc,28,267,FB,2960.81
FB_res_peso_desc,29,286,FB,5924.64
FB_res_peso_desc,30,281,FB,12358.1
