dataset,n,R,metodo,tiempo
dinamica,6000,7500,DP,988.562
dinamica,6500,1000,DP,122.005
dinamica,6500,1500,DP,187.35
dinamica,6500,2000,DP,255.521
dinamica,6500,2500,DP,338.276
dinamica,6500,3000,DP,400.17
dinamica,6500,3500,DP,484.818
dinamica,6500,4000,DP,565.754
dinamica,6500,4500,DP,624.984
dinamica,6500,5000,DP,687.2
dinamica,6500,5500,DP,816.353
dinamica,6500,6000,DP,931.479
dinamica,6500,6500,DP,908.806
dinamica,6500,7000,DP,1057.24
dinamica,6500,7500,DP,1197.46
dinamica,7000,1000,DP,130.137
dinamica,7000,1500,DP,186.308
dinamica,7000,2000,DP,278.248
dinamica,7000,2500,DP,349.052
dinamica,7000,3000,DP,454.581
dinamica,7000,3500,DP,538.774
dinamica,7000,4000,DP,638.028
dinamica,7000,4500,DP,749.816
dinamica,7000,5000,DP,802.008
dinamica,7000,5500,DP,831.824
dinamica,7000,6000,DP,974.801
dinamica,7000,6500,DP,1049.69
dinamica,7000,7000,DP,1173.7
dinamica,7000,7500,DP,1202.29
dinamica,7500,1000,DP,134.409
dinamica,7500,1500,DP,222.17
dinamica,7500,2000,DP,298.916
dinamica,7500,2500,DP,385.633
dinamica,7500,3000,DP,480.008
dinamica,7500,3500,DP,535.803
dinamica,7500,4000,DP,658.858
dinamica,7500,4500,DP,740.952
dinamica,7500,5000,DP,837.277
dinamica,7500,5500,DP,980.942
dinamica,7500,6000,DP,1030.87
dinamica,7500,6500,DP,1201.95
dinamica,7500,7000,DP,1242.6
dinamica,7500,7500,DP,1435.15
dinamica,1000,1000,DP,26.7286
dinamica,1000,1500,DP,20.9265
dinamica,1000,2000,DP,23.996
dinamica,1000,2500,DP,46.9193
dinamica,1000,3000,DP,40.6405
dinamica,1000,3500,DP,61.5549
dinamica,1000,4000,DP,56.4232
dinamica,1000,4500,DP,74.5718
dinamica,1000,5000,DP,79.7458
dinamica,1000,5500,DP,73.0107
dinamica,1000,6000,DP,94.9307
dinamica,1000,6500,DP,111.614
dinamica,1000,7000,DP,114.628
dinamica,1000,7500,DP,123.136
dinamica,1500,1000,DP,18.7788
dinamica,1500,1500,DP,35.4987
dinamica,1500,2000,DP,51.6714
dinamica,1500,2500,DP,57.7817
dinamica,1500,3000,DP,67.0059
dinamica,1500,3500,DP,84.4095
dinamica,1500,4000,DP,87.5524
dinamica,1500,4500,DP,100.846
dinamica,1500,5000,DP,123.18
dinamica,1500,5500,DP,126.256
dinamica,1500,6000,DP,165.724
dinamica,1500,6500,DP,170.177
dinamica,1500,7000,DP,176.478
dinamica,1500,7500,DP,183.718
dinamica,2000,1000,DP,43.3103
dinamica,2000,1500,DP,44.2991
dinamica,2000,2000,DP,65.338
dinamica,2000,2500,DP,92.4902
dinamica,2000,3000,DP,94.4119
dinamica,2000,3500,DP,116.357
dinamica,2000,4000,DP,131.367
dinamica,2000,4500,DP,149.593
dinamica,2000,5000,DP,151.961
dinamica,2000,5500,DP,185.077
