dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,99999,BT,0.002254
FB_res_peso_asc,1,1,BT,0.001804
FB_res_peso_asc,2,19,BT,0.007684
FB_res_peso_asc,3,14,BT,0.002785
FB_res_peso_asc,4,32,BT,0.002815
FB_res_peso_asc,5,41,BT,0.003917
FB_res_peso_asc,6,59,BT,0.013775
FB_res_peso_asc,7,57,BT,0.012113
FB_res_peso_asc,8,79,BT,0.019727
FB_res_peso_asc,9,83,BT,0.031108
FB_res_peso_asc,10,92,BT,0.018364
FB_res_peso_asc,11,98,BT,0.052588
FB_res_peso_asc,12,118,BT,0.016831
FB_res_peso_asc,13,124,BT,0.058308
FB_res_peso_asc,14,139,BT,0.196025
FB_res_peso_asc,15,145,BT,0.126786
FB_res_peso_asc,16,146,BT,0.067405
FB_res_peso_asc,17,162,BT,0.092903
FB_res_peso_asc,18,171,BT,0.100938
FB_res_peso_asc,19,187,BT,0.196967
FB_res_peso_asc,20,194,BT,0.275323
FB_res_peso_asc,21,198,BT,0.251248
FB_res_peso_asc,22,203,BT,0.342127
FB_res_peso_asc,23,222,BT,0.172371
FB_res_peso_asc,24,227,BT,0.323673
FB_res_peso_asc,25,240,BT,0.41358
FB_res_peso_asc,26,243,BT,0.695906
FB_res_peso_asc,27,259,BT,0.633389
FB_res_peso_asc,28,273,BT,0.415153
FB_res_peso_asc,29,290,BT,0.547149
FB_res_peso_asc,30,295,BT,1.79003
FB_res_peso_asc,31,299,BT,5.37395
FB_res_peso_asc,32,310,BT,0.623601
FB_res_peso_asc,33,251,BT,2.96664
FB_res_peso_asc,34,327,BT,3.05613
FB_res_peso_asc,35,320,BT,1.2401
FB_res_peso_asc,36,342,BT,3.47382
FB_res_peso_asc,37,363,BT,5.71496
FB_res_peso_asc,38,372,BT,3.87088
FB_res_peso_asc,39,390,BT,4.01004
FB_res_peso_asc,40,382,BT,7.71114
FB_res_peso_asc,41,407,BT,29.0071
FB_res_peso_asc,42,397,BT,2.8053
FB_res_peso_asc,43,423,BT,9.53126
FB_res_peso_asc,44,439,BT,11.0611
FB_res_peso_asc,45,450,BT,29.8601
FB_res_peso_asc,46,452,BT,5.43683
FB_res_peso_asc,47,465,BT,28.8935
FB_res_peso_asc,48,476,BT,32.6487
FB_res_peso_asc,49,489,BT,10.4654
FB_res_peso_asc,50,486,BT,16.8067
FB_res_peso_asc,51,510,BT,26.878
FB_res_peso_asc,52,504,BT,55.1501
FB_res_peso_asc,53,530,BT,17.5189
FB_res_peso_asc,54,534,BT,183.913
FB_res_peso_asc,55,540,BT,113.39
FB_res_peso_asc,56,559,BT,174.766
FB_res_peso_asc,57,569,BT,68.1596
FB_res_peso_asc,58,571,BT,12.0002
FB_res_peso_asc,59,582,BT,56.3392
FB_res_peso_asc,60,565,BT,125.829
FB_res_peso_asc,61,599,BT,97.9908
FB_res_peso_asc,62,618,BT,210.768
FB_res_peso_asc,63,625,BT,10.6442
FB_res_peso_asc,64,633,BT,177.01
FB_res_peso_asc,65,649,BT,49.0077
FB_res_peso_asc,66,648,BT,42.3241
FB_res_peso_asc,67,663,BT,254.769
FB_res_peso_asc,68,679,BT,56.0061
FB_res_peso_asc,69,675,BT,54.8133
FB_res_peso_asc,70,696,BT,55.9828
FB_res_peso_asc,71,684,BT,59.0755
FB_res_peso_asc,72,716,BT,306.896
FB_res_peso_asc,73,704,BT,126.291
FB_res_peso_asc,74,727,BT,2216.36
FB_res_peso_asc,75,740,BT,112.366
FB_res_peso_asc,76,756,BT,215.121
FB_res_peso_asc,77,766,BT,29.3722
FB_res_peso_asc,78,780,BT,191.558
FB_res_peso_asc,79,769,BT,39.2759
FB_res_peso_asc,80,791,BT,388.494
FB_res_peso_asc,81,800,BT,2690.42
FB_res_peso_asc,82,809,BT,382.403
FB_res_peso_asc,83,825,BT,390.237
FB_res_peso_asc,84,806,BT,543.299
FB_res_peso_asc,85,846,BT,277.149
FB_res_peso_asc,86,844,BT,5096.53
FB_res_peso_asc,87,863,BT,1035.98
FB_res_peso_asc,88,866,BT,367.723
FB_res_peso_asc,89,884,BT,5485.28
FB_res_peso_asc,90,895,BT,1958.67
FB_res_peso_asc,91,896,BT,2059.09
FB_res_peso_asc,92,913,BT,670.594
FB_res_peso_asc,93,928,BT,828.066
FB_res_peso_asc,94,938,BT,395.021
FB_res_peso_asc,95,943,BT,197.359
FB_res_peso_asc,96,952,BT,186.733
FB_res_peso_asc,97,970,BT,1712.04
FB_res_peso_asc,98,966,BT,1719.39
FB_res_peso_asc,99,988,BT,2075.79
FB_res_peso_asc,100,996,BT,1390.89
FB_res_peso_desc,0,99990,BT,0.003797
FB_res_peso_desc,1,6,BT,0.003246
FB_res_peso_desc,2,6,BT,0.002334
FB_res_peso_desc,3,26,BT,0.002645
FB_res_peso_desc,4,37,BT,0.006312
FB_res_peso_desc,5,48,BT,0.011552
FB_res_peso_desc,6,56,BT,0.011842
FB_res_peso_desc,7,70,BT,0.013976
FB_res_peso_desc,8,63,BT,0.006302
FB_res_peso_desc,9,82,BT,0.020929
FB_res_peso_desc,10,95,BT,0.01606
FB_res_peso_desc,11,105,BT,0.015429
FB_res_peso_desc,12,111,BT,0.036748
FB_res_peso_desc,13,123,BT,0.054662
FB_res_peso_desc,14,106,BT,0.093795
FB_res_peso_desc,15,143,BT,0.040155
FB_res_peso_desc,16,158,BT,0.444117
FB_res_peso_desc,17,169,BT,0.148085
FB_res_peso_desc,18,174,BT,0.185605
FB_res_peso_desc,19,184,BT,0.21453
FB_res_peso_desc,20,180,BT,0.478211
FB_res_peso_desc,21,196,BT,0.082604
FB_res_peso_desc,22,215,BT,0.228275
FB_res_peso_desc,23,227,BT,0.26345
FB_res_peso_desc,24,237,BT,0.40811
FB_res_peso_desc,25,243,BT,0.581613
FB_res_peso_desc,26,260,BT,2.13175
FB_res_peso_desc,27,270,BT,0.75677
FB_res_peso_desc,28,267,BT,0.539555
FB_res_peso_desc,29,286,BT,0.71948
FB_res_peso_desc,30,281,BT,2.90159
FB_res_peso_desc,31,310,BT,3.58219
FB_res_peso_desc,32,320,BT,7.22629
FB_res_peso_desc,33,325,BT,2.89286
FB_res_peso_desc,34,338,BT,2.8403
FB_res_peso_desc,35,321,BT,2.06982
FB_res_peso_desc,36,357,BT,2.98129
FB_res_peso_desc,37,365,BT,9.60082
FB_res_peso_desc,38,380,BT,4.18725
FB_res_peso_desc,39,384,BT,4.13794
FB_res_peso_desc,40,394,BT,22.8382
FB_res_peso_desc,41,372,BT,6.3935
FB_res_peso_desc,42,383,BT,10.243
FB_res_peso_desc,43,404,BT,5.25822
FB_res_peso_desc,44,412,BT,3.9179
FB_res_peso_desc,45,430,BT,15.6751
FB_res_peso_desc,46,453,BT,27.7686
FB_res_peso_desc,47,467,BT,118.205
FB_res_peso_desc,48,480,BT,18.1269
FB_res_peso_desc,49,484,BT,9.18703
FB_res_peso_desc,50,497,BT,5.91967
FB_res_peso_desc,51,508,BT,42.1655
FB_res_peso_desc,52,515,BT,19.8852
FB_res_peso_desc,53,521,BT,21.3618
FB_res_peso_desc,54,530,BT,24.1184
FB_res_peso_desc,55,543,BT,36.1854
FB_res_peso_desc,56,560,BT,16.8912
FB_res_peso_desc,57,568,BT,28.8602
FB_res_peso_desc,58,577,BT,23.6427
FB_res_peso_desc,59,585,BT,37.8751
FB_res_peso_desc,60,593,BT,213.952
FB_res_peso_desc,61,600,BT,158.607
FB_res_peso_desc,62,620,BT,29.0912
FB_res_peso_desc,63,610,BT,21.944
FB_res_peso_desc,64,611,BT,159.457
FB_res_peso_desc,65,650,BT,144.055
FB_res_peso_desc,66,653,BT,26.5986
FB_res_peso_desc,67,667,BT,1208.24
FB_res_peso_desc,68,677,BT,433.223
FB_res_peso_desc,69,686,BT,90.6116
FB_res_peso_desc,70,695,BT,122.323
FB_res_peso_desc,71,710,BT,273.583
FB_res_peso_desc,72,720,BT,420.118
FB_res_peso_desc,73,722,BT,64.792
FB_res_peso_desc,74,733,BT,30.009
FB_res_peso_desc,75,748,BT,309.735
FB_res_peso_desc,76,757,BT,291.256
FB_res_peso_desc,77,770,BT,167.477
FB_res_peso_desc,78,776,BT,119.456
FB_res_peso_desc,79,753,BT,1067.51
FB_res_peso_desc,80,786,BT,293.886
FB_res_peso_desc,81,804,BT,620.286
FB_res_peso_desc,82,818,BT,111.084
FB_res_peso_desc,83,804,BT,296.448
FB_res_peso_desc,84,836,BT,220.782
FB_res_peso_desc,85,847,BT,28.0508
FB_res_peso_desc,86,849,BT,464.351
FB_res_peso_desc,87,860,BT,99.4097
FB_res_peso_desc,88,873,BT,769.413
FB_res_peso_desc,89,885,BT,847.56
FB_res_peso_desc,90,898,BT,619.644
FB_res_peso_desc,91,899,BT,508.885
FB_res_peso_desc,92,904,BT,2825.62
FB_res_peso_desc,93,922,BT,2031.79
FB_res_peso_desc,94,940,BT,2396.37
FB_res_peso_desc,95,930,BT,262.129
FB_res_peso_desc,96,951,BT,3171.69
FB_res_peso_desc,97,964,BT,969.75
FB_res_peso_desc,98,969,BT,370.33
FB_res_peso_desc,99,977,BT,393.993
FB_res_peso_desc,100,976,BT,310.634
FB_res_peso_asc,0,99999,BT-F,0.003857
FB_res_peso_asc,0,99999,BT-O,0.001673
FB_res_peso_asc,1,1,BT-F,0.001893
FB_res_peso_asc,1,1,BT-O,0.001282
FB_res_peso_asc,2,19,BT-F,0.003607
FB_res_peso_asc,2,19,BT-O,0.003036
FB_res_peso_asc,3,14,BT-F,0.002625
FB_res_peso_asc,3,14,BT-O,0.001863
FB_res_peso_asc,4,32,BT-F,0.002946
FB_res_peso_asc,4,32,BT-O,0.001873
FB_res_peso_asc,5,41,BT-F,0.004168
FB_res_peso_asc,5,41,BT-O,0.001994
FB_res_peso_asc,6,59,BT-F,0.015459
FB_res_peso_asc,6,59,BT-O,0.004789
FB_res_peso_asc,7,57,BT-F,0.013636
FB_res_peso_asc,7,57,BT-O,0.003316
FB_res_peso_asc,8,79,BT-F,0.021961
FB_res_peso_asc,8,79,BT-O,0.003146
FB_res_peso_asc,9,83,BT-F,0.044173
FB_res_peso_asc,9,83,BT-O,0.00542
FB_res_peso_asc,10,92,BT-F,0.024496
FB_res_peso_asc,10,92,BT-O,0.005971
FB_res_peso_asc,11,98,BT-F,0.063518
FB_res_peso_asc,11,98,BT-O,0.007083
FB_res_peso_asc,12,118,BT-F,0.017412
FB_res_peso_asc,12,118,BT-O,0.003407
FB_res_peso_asc,13,124,BT-F,0.097251
FB_res_peso_asc,13,124,BT-O,0.005771
FB_res_peso_asc,14,139,BT-F,0.310919
FB_res_peso_asc,14,139,BT-O,0.020117
FB_res_peso_asc,15,145,BT-F,0.166681
FB_res_peso_asc,15,145,BT-O,0.012203
FB_res_peso_asc,16,146,BT-F,0.138107
FB_res_peso_asc,16,146,BT-O,0.008055
FB_res_peso_asc,17,162,BT-F,0.110055
FB_res_peso_asc,17,162,BT-O,0.007765
FB_res_peso_asc,18,171,BT-F,0.165057
